Task,Model,Params (M),L=20,L=40,L=60,L=80,L=100
Addition,GPT,42.7,0.181,0.110,0.099,0.096,0.099
Addition,GPT-L1,1.9,0.130,0.106,0.102,0.095,0.096
Addition,GPT-L2,1.9,0.117,0.108,0.102,0.097,0.097
Addition,UT,1.9,0.938,0.101,0.099,0.097,0.103
Addition,UT-L1,1.9,0.845,0.109,0.104,0.101,0.104
Addition,UT-L2,1.9,0.123,0.098,0.100,0.098,0.094
Addition,TRM,1.9,0.111,0.099,0.100,0.104,0.097
Copy,GPT,42.7,0.999,0.096,0.097,0.098,0.101
Copy,GPT-L1,1.9,1.000,0.096,0.095,0.098,0.099
Copy,GPT-L2,1.9,0.995,0.098,0.097,0.097,0.099
Copy,UT,1.9,1.000,0.101,0.097,0.095,0.101
Copy,UT-L1,1.9,1.000,0.099,0.097,0.099,0.097
Copy,UT-L2,1.9,0.091,0.101,0.096,0.105,0.095
Copy,TRM,1.9,0.108,0.088,0.095,0.099,0.092
Reverse,GPT,42.7,0.989,0.248,0.198,0.153,0.134
Reverse,GPT-L1,1.9,0.970,0.120,0.106,0.109,0.110
